descripcion,categoria
mi laptop no enciende,Hardware
la pantalla se puso negra y esta rota,Hardware
se rompio el monitor,Hardware
el teclado no responde,Hardware
olvide mi clave de windows,Software
necesito instalar el nuevo office,Software
el mouse no funciona,Hardware
necesito un teclado nuevo,Repuesto
la impresora no tiene tinta,Repuesto
el sistema operativo no arranca,Software
se derramo cafe en mi computadora,Hardware
sale un error que dice 'null reference',Software
la bateria de mi portatil no carga,Repuesto
no me puedo conectar a la red wifi,Hardware
necesito acceso a la carpeta compartida,Software
la impresora imprime con manchas,Hardware
quiero solicitar un mousepad nuevo,Repuesto
el antivirus detecto una amenaza,Software
mi computadora esta muy lenta,Software
el servidor se reinicia solo,Hardware
necesito un cartucho de toner,Repuesto
la pantalla parpadea,Hardware
no tengo sonido,Hardware
el excel se cierra solo,Software
necesito una licencia de photoshop,Software
el monitor externo no da señal,Hardware
windows se queda en la pantalla de carga,Software
el cable de poder de mi PC esta dañado,Repuesto
solicitud de un nuevo mouse,Repuesto
el proyector de la sala 5 no funciona,Hardware
no puedo abrir mis archivos de Word,Software
la laptop se sobrecalienta mucho,Hardware
necesito actualizar mi sistema operativo,Software
la bateria se agota muy rapido,Repuesto
no puedo acceder al sistema de gestion,Software
el escaner no toma la hoja,Hardware
el touchpad dejo de funcionar,Hardware
necesito un cable HDMI,Repuesto
el Outlook no recibe correos,Software
la computadora hace un ruido extraño,Hardware
el ventilador de la CPU hace mucho ruido,Hardware
mi cuenta esta bloqueada,Software
solicito una nueva silla de oficina,Repuesto
la impresora esta atascada,Hardware
no puedo conectarme a la VPN,Software
el telefono IP no tiene tono,Hardware
necesito un adaptador de USB a HDMI,Repuesto
la aplicacion de contabilidad da un error,Software
la pantalla tiene pixeles muertos,Hardware
el sistema tarda mucho en iniciar,Software
se rompio la tecla 'Enter' de mi teclado,Hardware
solicitud de reposa muñecas,Repuesto
no puedo compartir mi pantalla en Teams,Software
la webcam no me funciona,Hardware
el audio se escucha distorsionado,Hardware
necesito desinstalar un programa,Software
el boton del mouse se atasca,Hardware
la laptop no detecta el wifi,Hardware
mi monitor se ve amarillo,Hardware
necesito un cable de red,Repuesto
el sistema pide una actualizacion urgente,Software
no puedo guardar cambios en el servidor,Software
la impresora no jala el papel,Hardware
solicitud de una base para laptop,Repuesto
el proyector se ve borroso,Hardware
no puedo abrir un archivo PDF,Software
se cayo mi laptop y no prende,Hardware
la aplicacion de diseño no responde,Software
el cargador de mi laptop se rompio,Repuesto
el lector de huellas no funciona,Hardware
necesito instalar la impresora de red,Software
el servidor esta caido,Hardware
mi computadora se apaga sola,Hardware
el sistema me pide una clave de producto,Software
la pantalla de mi celular corporativo se rompio,Hardware
necesito mas espacio en mi disco duro,Hardware
el correo corporativo no funciona,Software
se quemo la fuente de poder,Hardware
solicito un nuevo monitor,Repuesto
el puntero del mouse se mueve solo,Hardware
no puedo acceder a la intranet,Software
la impresora de tickets no corta el papel,Hardware
necesito un kit de limpieza de pantalla,Repuesto
la laptop no reconoce mi USB,Hardware
el sistema esta lento,Software
el wifi se desconecta a cada rato,Hardware
el archivo esta corrupto y no abre,Software
solicito una bateria nueva para mi portatil,Repuesto
la camara web no enciende,Hardware
no puedo proyectar mi pantalla,Hardware
el sistema de planillas no abre,Software
el telefono de la oficina no funciona,Hardware
el monitor principal no da video,Hardware
necesito comprar un disco duro externo,Repuesto
mi PC se congela constantemente,Hardware
la licencia de Windows expiro,Software
el lector de tarjetas no funciona,Hardware
necesito una diadema con microfono,Repuesto